dataset,group,sample_id,routine_name,variant,gt_latency_s,macro_latency_s,micro_latency_s,final_latency_s,latency_gain_s,latency_gain_pct,validation_pass,rollback_layer_count,diagnostic_depth_with_fail_as_3,runtime_s,failure_type
smart-home,Group2,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,without_micro,5.15,1.648,NA,1.648,3.502,68.0,1,2,2,12.7764,
smart-home,Group2,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,action_only,5.15,3.288,NA,3.288,1.862,36.16,1,0,0,10.6704,
smart-home,Group2,233,Automatically turn your lights on at sunset,full_floweaver,4.62,1.478,1.331,1.331,3.289,71.19,1,2,2,14.04,
smart-home,Group2,233,Automatically turn your lights on at sunset,without_rollback,4.62,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
smart-home,Group2,233,Automatically turn your lights on at sunset,without_micro,4.62,1.478,NA,1.478,3.142,68.01,1,2,2,12.7764,
smart-home,Group2,233,Automatically turn your lights on at sunset,action_only,4.62,3.319,NA,3.319,1.301,28.16,1,0,0,10.6704,
smart-home,Group2,234,Toggle Kasa lights with Button widget,full_floweaver,3.8,1.216,1.094,1.094,2.706,71.21,1,2,2,14.04,
smart-home,Group2,234,Toggle Kasa lights with Button widget,without_rollback,3.8,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
smart-home,Group2,234,Toggle Kasa lights with Button widget,without_micro,3.8,1.216,NA,1.216,2.584,68.0,1,2,2,12.7764,
smart-home,Group2,234,Toggle Kasa lights with Button widget,action_only,3.8,2.383,NA,2.383,1.417,37.29,1,0,0,10.6704,
smart-home,Group1,235,Turn off TP-Link Kasa light at sunrise,full_floweaver,2.86,0.915,0.824,0.824,2.036,71.19,1,2,2,14.04,
smart-home,Group1,235,Turn off TP-Link Kasa light at sunrise,without_rollback,2.86,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
smart-home,Group1,235,Turn off TP-Link Kasa light at sunrise,without_micro,2.86,0.915,NA,0.915,1.945,68.01,1,2,2,12.7764,
smart-home,Group1,235,Turn off TP-Link Kasa light at sunrise,action_only,2.86,NA,NA,NA,NA,NA,0,,3,12.3552,action_lifecycle_or_resource_violation
smart-home,Group1,236,Toggle Kasa lights with Button widget,full_floweaver,2.67,0.854,0.769,0.769,1.901,71.2,1,2,2,14.04,
smart-home,Group1,236,Toggle Kasa lights with Button widget,without_rollback,2.67,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
smart-home,Group1,236,Toggle Kasa lights with Button widget,without_micro,2.67,0.854,NA,0.854,1.816,68.01,1,2,2,12.7764,
smart-home,Group1,236,Toggle Kasa lights with Button widget,action_only,2.67,1.5353,NA,1.5353,1.1347,42.5,1,1,1,11.232,
smart-home,Group4,240,Open SwitchBot curtains when your Smart Bed alarm rings,full_floweaver,12.02,8.414,7.699,7.699,4.321,35.95,1,2,2,13.66,
smart-home,Group4,240,Open SwitchBot curtains when your Smart Bed alarm rings,without_rollback,12.02,NA,NA,NA,NA,NA,0,,3,9.8352,rollback_required
smart-home,Group4,240,Open SwitchBot curtains when your Smart Bed alarm rings,without_micro,12.02,8.414,NA,8.414,3.606,30.0,1,2,2,12.4306,
smart-home,Group4,240,Open SwitchBot curtains when your Smart Bed alarm rings,action_only,12.02,9.592,NA,9.592,2.428,20.2,1,2,2,11.4744,
smart-home,Group3,242,Turn on Home Connect Hood light on a special day,full_floweaver,8.59,3.866,3.46,3.46,5.13,59.72,1,2,2,13.66,
